ID,Fecha de Inicio
4975,30/10/15
5035,30/10/15
5046,30/10/15
5059,30/10/15
5067,30/10/15
5072,30/10/15
5073,30/10/15
5078,30/10/15
5099,30/10/15
5114,30/10/15
5115,30/10/15
5135,30/10/15
5144,30/10/15
5187,30/10/15
5276,30/10/15
5283,30/10/15
5285,30/10/15
5304,30/10/15
5321,30/10/15
5322,30/10/15
5324,30/10/15
5346,30/10/15
5352,30/10/15
5357,30/10/15
5361,30/10/15
19331,30/10/15
19333,30/10/15
19334,30/10/15
19335,30/10/15
19337,30/10/15
19341,30/10/15
19344,30/10/15
19346,30/10/15
19352,30/10/15
19357,30/10/15
19358,30/10/15
19362,30/10/15
19366,30/10/15
19368,30/10/15
19370,30/10/15
19371,30/10/15
19372,30/10/15
19376,30/10/15
19378,30/10/15
19381,30/10/15
19382,30/10/15
19383,30/10/15
19386,30/10/15
19387,30/10/15
19391,30/10/15
19393,30/10/15
19395,30/10/15
19398,30/10/15
19407,30/10/15
19408,30/10/15
19410,30/10/15
19412,30/10/15
19416,30/10/15
19417,30/10/15
19421,30/10/15
19427,30/10/15
19432,30/10/15
19435,30/10/15
19440,30/10/15
19441,30/10/15
19444,30/10/15
19446,30/10/15
19453,30/10/15
19454,30/10/15
19456,30/10/15
19458,30/10/15
19459,30/10/15
19461,30/10/15
19467,30/10/15
19468,30/10/15
19469,30/10/15
19470,30/10/15
19471,30/10/15
19474,30/10/15
23741,30/10/15
7097,30/10/15
11947,3/11/15
7193,3/11/15
12889,4/11/15
11058,5/11/15
10159,6/11/15
6839,6/11/15
20435,6/11/15
23801,6/11/15
172,6/11/15
269,6/11/15
492,6/11/15
493,6/11/15
592,6/11/15
673,6/11/15
689,6/11/15
838,6/11/15
869,6/11/15
870,6/11/15
879,6/11/15
994,6/11/15
1053,6/11/15
1074,6/11/15
1210,6/11/15
1328,6/11/15
1531,6/11/15
1537,6/11/15
1565,6/11/15
2187,6/11/15
3608,6/11/15
3609,6/11/15
3619,6/11/15
3642,6/11/15
4637,6/11/15
